ID,Description,File Name,Directory,Copyright,License List,URI DaSCH,Authorship,File Path,Time Stamp,File Size
MAT_001,xml import script for Archive class,import_archive.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_archive.xml,,0.003
MAT_002,xml import script for Audio class,import_audio.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_audio.xml,,0.057
MAT_003,xml import script for Book Chapter class,import_book_chapter.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_book_chapter.xml,,0.398
MAT_004,xml import script for Book Cover class,import_book_cover.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_book_cover.xml,,0.01
MAT_005,xml import script for Book Edition class,import_book_edition.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_book_edition.xml,,0.008
MAT_006,xml import script for Book class,import_book.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_book.xml,,0.007
MAT_007,xml import script for Character class,import_character.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_character.xml,,0.148
MAT_008,xml import script for Documentation class,import_documentation.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_documentation.xml,,0.006
MAT_009,xml import script for Event class,import_event.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_event.xml,,0.054
MAT_010,xml import script for Image class,import_image.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_image.xml,,0.105
MAT_011,xml import script for Location class,import_location.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_location.xml,,0.031
MAT_012,xml import script for Material class,import_material.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_material.xml,,0.043
MAT_013,xml import script for Region of Image class,import_region.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_region.xml,,0.006
MAT_014,xml import script for Video class,import_video.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_video.xml,,0.003
MAT_015,xml import script for Audio Segment class,import_audio_segment.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_audio_segment.xml,,0.006
MAT_016,xml import script for Video Segment class,import_video_segment.xml,data/XML/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/XML/import_video_segment.xml,,0.003
MAT_017,csv file for Nodegoat import for Archive class,Archive.csv,Nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/Nodegoat/Archive.csv,,0.0
MAT_018,csv file for Nodegoat import for Audio class,Audio.csv,Nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/Nodegoat/Audio.csv,,0.032
MAT_019,csv file for Nodegoat import for Book class,Book.csv,Nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/Nodegoat/Book.csv,,0.002
MAT_020,csv file for Nodegoat import for Book Chapter class,BookChapter.csv,Nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/Nodegoat/BookChapter.csv,,0.348
MAT_021,csv file for Nodegoat import for Book Edition class,BookEdition.csv,Nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/Nodegoat/BookEdition.csv,,0.003
MAT_022,csv file for Nodegoat import for Character class,Character.csv,Nodegoat/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg",/Users/noemivillars-amberg/Documents/daschland-scripts/Nodegoat/Character.csv,,0.078
