problematic type,resource id,problem
:ID,IW_001,Invalid Property
:ID,IW_002,Invalid Property
:ID,IW_003,Invalid Property
:ID,IW_004,Invalid Property
:ID,IW_005,Invalid Property
:ID,IW_006,Invalid Property
:ID,IW_007,Invalid Property
:ID,IW_008,Invalid Property
:ID,IW_009,Invalid Property
:ID,IW_010,Invalid Property
:ID,IW_011,Invalid Property
:ID,IW_012,Invalid Property
:ID,IW_013,Invalid Property
:ID,IW_014,Invalid Property
:ID,IW_015,Invalid Property
:ID,IW_016,Invalid Property
:ID,IW_017,Invalid Property
:ID,IW_018,Invalid Property
:ID,IW_019,Invalid Property
:ID,IW_020,Invalid Property
:ID,IW_021,Invalid Property
:ID,IW_022,Invalid Property
:ID,IW_023,Invalid Property
:ID,IW_024,Invalid Property
:ID,IW_025,Invalid Property
:ID,IW_026,Invalid Property
:ID,IW_027,Invalid Property
:ID,IW_028,Invalid Property
:ID,IW_029,Invalid Property
:ID,IW_030,Invalid Property
:ID,IW_031,Invalid Property
:ID,IW_032,Invalid Property
:ID,IW_033,Invalid Property
:ID,IW_034,Invalid Property
:ID,IW_035,Invalid Property
:ID,IW_036,Invalid Property
:ID,IW_037,Invalid Property
:ID,IW_038,Invalid Property
:ID,IW_039,Invalid Property
:ID,IW_040,Invalid Property
:ID,IW_041,Invalid Property
:ID,IW_042,Invalid Property
:ID,IW_043,Invalid Property
:ID,IW_044,Invalid Property
:ID,IW_045,Invalid Property
:ID,IW_046,Invalid Property
:ID,IW_047,Invalid Property
:ID,IW_048,Invalid Property
:ID,IW_049,Invalid Property
:ID,IW_050,Invalid Property
:ID,IW_051,Invalid Property
:ID,IW_052,Invalid Property
:ID,IW_053,Invalid Property
:ID,IW_054,Invalid Property
:ID,IW_055,Invalid Property
:ID,IW_056,Invalid Property
:ID,IW_057,Invalid Property
:ID,IW_058,Invalid Property
:ID,IW_059,Invalid Property
:ID,IW_060,Invalid Property
:ID,IW_061,Invalid Property
:ID,IW_062,Invalid Property
:ID,IW_063,Invalid Property
:ID,IW_064,Invalid Property
:ID,IW_065,Invalid Property
:ID,IW_066,Invalid Property
:ID,IW_067,Invalid Property
:ID,IW_068,Invalid Property
:ID,IW_069,Invalid Property
:ID,IW_070,Invalid Property
:ID,IW_071,Invalid Property
:ID,IW_072,Invalid Property
:ID,IW_073,Invalid Property
:ID,IW_074,Invalid Property
:ID,IW_075,Invalid Property
:ID,IW_076,Invalid Property
:ID,IW_077,Invalid Property
:ID,IW_078,Invalid Property
:ID,IW_079,Invalid Property
:ID,IW_080,Invalid Property
:ID,IW_081,Invalid Property
:ID,IW_082,Invalid Property
:ID,IW_083,Invalid Property
:ID,IW_084,Invalid Property
:ID,IW_085,Invalid Property
:ID,IW_086,Invalid Property
:ID,IW_087,Invalid Property
:ID,IW_088,Invalid Property
:ID,IW_089,Invalid Property
:ID,IW_090,Invalid Property
:ID,IW_091,Invalid Property
:ID,IW_092,Invalid Property
:ID,IW_093,Invalid Property
:ID,IW_094,Invalid Property
:ID,IW_095,Invalid Property
:ID,IW_096,Invalid Property
:ID,IW_097,Invalid Property
:ID,IW_098,Invalid Property
:ID,IW_099,Invalid Property
