hasId,hasName,hasDescription,linkToImageID,linkToLocationID
W_001,Alice,"Alice is the main character of the story “Alice’s Adventures in Wonderland” and the sequel “Through the Looking-Glass and what Alice found there”.

She is a seven-year-old English girl (in ‘Alice’s Adventures in Wonderland’ she is exactly seven years old, in ‘Through the Looking-Glass’ she is seven and a half) with lots of imagination and is fond of showing off her knowledge. Alice is polite, well raised and interested in others, although she sometimes makes the wrong remarks and upsets the creatures in Wonderland. She is easily put off by abruptness and rudeness of others.

In Through the Looking-Glass, she is 6 months older and more sure of her identity.

The illustrations of Alice by John Tenniel are not based on Alice Liddell. Carroll sent Tenniel a photograph of Mary Hilton Badcock, another child-friend, who was the daughter of the Dean of Ripon. He recommended her as a model, but whether Tenniel accepted this advice remains a matter of dispute",,
W_002,White Rabbit,"The White Rabbit is a fictional and anthropomorphic character in Lewis Carroll's 1865 book Alice's Adventures in Wonderland. He appears at the very beginning of the book, in chapter one, wearing a waistcoat, and muttering ""Oh dear! Oh dear! I shall be too late!"" Alice follows him down the rabbit hole into Wonderland. Alice encounters him again when he mistakes her for his housemaid Mary Ann and she becomes trapped in his house after growing too large. The Rabbit shows up again in the last few chapters, as a herald-like servant of the King and Queen of Hearts.

In his article ""Alice on the Stage"", Carroll wrote, ""And the White Rabbit, what of him? Was he framed on the 'Alice' lines, or meant as a contrast? As a contrast, distinctly. For her 'youth', 'audacity', 'vigour', and 'swift directness of purpose', read 'elderly', 'timid', 'feeble', and 'nervously shilly-shallying', and you will get something of what I meant him to be. I think the White Rabbit should wear spectacles. I'm sure his voice should quaver, and his knees quiver and his whole air suggest a total inability to say 'Boo' to a goose!""[1]

Overall, the White Rabbit seems to shift back and forth between pompous behaviour toward his underlings, such as his servants, and grovelling, obsequious behaviour toward his superiors, such as the Duchess, and the King and Queen of Hearts, in direct contrast to Alice, who is reasonably polite to everyone she meets.

The White Rabbit's perennial unpunctuality is a nod to Oxford time, the tradition at Oxford (and especially Christ Church, where Carroll taught) of having events begin five minutes past the scheduled hour.[2] ",,
W_003,Caterpillar,"The Caterpillar is mentioned in chapter 4 and 5 of the book “Alice’s Adventures in Wonderland”. He is sitting on a mushroom while smoking a hookah, when Alice first meets him. Although he is rather strict and not very friendly, and corrects Alice’s recitation of a poem, he does help her by advising her to eat from the mushroom if she wants to change her size. In the end, he crawles away. In Disney’s cartoon movie, however, he changes into a butterfly.

The Caterpillar actually teaches Alice how to cope with the difficulties she encounters in Wonderland. He teaches her how to change size by eating the mushroom and thereby to adapt to her environment when needed.

Although the original illustrations are black-and-white, in the text the Caterpiller is described as being blue (‘a large blue caterpillar’).

When you take a close look at the picture of the Caterpillar, you’ll see that his nose and chin are really two of its legs!",,
W_004,Mad Hatter,"The Mad Hatter is one of the members of the Mad Tea Party. Later he also appears as a witness during the trial. He occasionally is very rude and provokes Alice during the tea party. When he is called upon by the Queen, he is very nervous and frightened.

The Hatter is mentioned in chapter 7 and 11 from the book “Alice’s Adventures in Wonderland”. In ‘Through the Looking-Glass’, the Hatter returns in the form of the Anglo-Saxon messenger ‘Hatta’.

Although everybody calls him ‘the Mad Hatter’, Lewis Carroll never actually called him that in the story. He just referred to him as ‘the Hatter’.

In Tim Burton’s 2010 movie, the Hatter’s name is Tarrant Hightopp.

The phrase ‘mad as a hatter’ was common in Carroll’s time. ‘Mad as a hatter’ probably owes its origin to the fact that hatters actually did go mad, because the mercury they used sometimes gave them mercury poisoning.

Mad Hatter by DisneyCarroll may have asked Tenniel to draw the Mad Hatter to resemble Theophilus Carter, a furniture dealer near Oxford. Carter was known in the area as the Mad Hatter, partly because he always wore a top hat and because of his eccentric ideas.",,
W_005,Cheshire Cat,"The Cheshire Cat is the cat of the Duchess. Alice first meets it in chapter 6 from “Alice’s Adventures in Wonderland”, when she leaves the Duchess house, and finds it in a tree. It constantly grins and can disappear and reappear whenever it likes. Sometimes it disappears and leaves its grin behind. In chapter 8 she meets it again in the Queen’s croquet garden.

In “The Nursery ‘Alice'”, Alice notices that the cat has ‘lovely green eyes’.

The Cheshire Cat is the only character in Wonderland who actually listens to Alice. With his remarks, he teaches Alice the ‘rules’ of Wonderland. He gives her insight in how things work down there.

Carroll kept changing details in the story throughout this life, and in some editions of the story the name of the cat is spelled as ‘Cheshire-Cat’, not ‘Cheshire Cat’.

It is not 100% clear why Carroll named this character ‘Cheshire Cat’. “To grin like a Cheshire Cat” was a common phrase in Carroll’s day. Its origin is unknown, but it may have originated from a sign painter in Cheshire, who painted grinning lions on the sign-boards of inns in the area.

Cheshire Cat by DisneyAnother source may be the following: when you take a good look at the ‘Alice Window’ in Christ Church, Oxford, you can see 3 grinning animals at the top of the Liddell’s family arms. Perhaps this is what inspired Dodgson.

Also, at one time, Cheshire cheeses were molded in the shape of a grinning cat.
Finally, the Cheshire Cat might be inspired by a sedilia in Croft Church.",,
W_006,Queen of Hearts,"The Queen of Hearts appears in chapters 8, 9, 11 and 12 from “Alice’s Adventures in Wonderland”. She is one of the playing card characters Alice meets when she is finally able to enter the beautiful garden through the door in the hallway.

The Queen of Hearts rules over Wonderland and is a tyrant – violent, authoritative and dominant. She likes to play croquet with live flamingoes and hedgehogs as mallets and balls (but only when she wins, and by her own rules) and constantly orders the beheading of people when something isn’t to her Queen of Hearts by Disneyliking (although these orders apparently never are actually carried out). She also has her own ideas
about how trials should be conducted, and is feared by all other Wonderland inhabitants because of her lack of patience and explosive character.

Carroll wrote the following about the Queen of Hearts:

    “I pictured to myself the Queen of Hearts as a sort of embodiment of ungovernable passion – a blind and aimless Fury.”",,
W_007,March Hare,"he is holding a tea party with the Hatter and the Dormouse. The party will continue forever, as they live in a frozen time. Later on, the March Hare is a witness during the trial.",,
W_008,Duchess,she is very ugly and mistreats her baby. She is also fond of finding morals in things. She tries to be in everyone’s good books (especially the Queen’s one) by acting very complimentary.,,
W_009,Mock Turtle,he seems to be very sad and constantly sobs. He tells Alice about his schooldays.,,
W_010,Gryphon,he takes Alice to the Mock Turtle. With him he explains the Lobster Quadrille to Alice.,,
