ID,Name EN,Name DE,Name FR,Name IT,Description,Footnote URI,Role List,Quote,Alternative Description,Alternative Name,Image ID,Keyword,Authorship Resource
CH_001,Alice,Alice,Alice,Alice,"Alice is a young English girl. She is the main protagonist of Alice’s Adventures in Wonderland and Through the Looking-Glass and What Alice Found There. She is a curious, imaginative, and bold young girl who finds herself in bizarre, dreamlike worlds filled with nonsense and eccentric characters.

Alice is a seven-year-old girl in Alice’s Adventures in Wonderland and slightly older in Through the Looking-Glass.
She follows the White Rabbit down a rabbit hole, leading her into Wonderland, where she experiences strange adventures and meets absurd characters.
In the Looking-Glass world, she plays through a giant chess game, moving from pawn to queen.

The beautiful pictures of Alice, drawn by John Tenniel, were inspired by Mary Hilton Badcock, the daughter of the Dean of Ripon. Although she was suggested as a model, it's not clear if Tenniel fully took this suggestion *alice-in-wonderland.net*.",,R_01,Curiouser and curiouser!,"In the digital wonderland of DaSCHland, Alice is reimagined as a spirited young explorer with radiant Indonesian features, her hair partly discoloured in bold streaks and styled into sharp, playful spikes that reflect her daring spirit. Her deep-set eyes, framed by thick lashes, are pools of curiosity—always scanning, always questioning. She wears a sleek cobalt-blue tunic etched with shifting patterns of code, a modern twist on the classic pinafore, and her boots are made for navigating both archives and algorithms.

Alice’s journey through DaSCHland is one of transformation and discovery. She is no longer just a curious girl—she is a digital native, dancing effortlessly between realms of metadata and memory, seamlessly blending analog tales with modern technology. She engages with whimsical characters: cracking semantic riddles with the White Queen, debating logic with a data-savvy Humpty Dumpty, and joining immersive banquets where narratives render themselves in augmented reality.

What defines Alice most is her inquisitive mind and adaptability. Each interaction deepens her understanding—not only of the strange world around her but also of the powerful ways in which digital infrastructures can animate literature, culture, and memory. She becomes a bridge between the old and the new, the textual and the virtual. In DaSCHland, Alice doesn’t just follow a rabbit hole—she codes her own path forward, illuminating how technology can turn curiosity into connection, and data into storytelling.",Alice,"I_003, I_004, I_005, I_006, I_007, I_008, I_009, I_010, I_011, I_012, I_014, I_015, I_021, I_022, I_023, I_025, I_029, I_030, I_032, I_034, I_035, I_040, I_042, I_043, I_045, I_046, I_047, I_049, I_052, I_053, I_055, I_056, I_060, I_061, I_066, I_067, I_068, I_070, I_071, I_072, I_076, I_077, I_078, I_079, I_080, I_081, I_082, I_084, I_085, I_086, I_087, I_089, I_090, I_091, I_092","Adventure, Journey, Exploration, Identity, Personal Growth, Transformation, Surrealism, Imagination, Contradiction, Logic, Paradoxes, Wordplay, Wisdom, Reflection","Noémi Villars-Amberg, Daniela Subotic"
CH_002,White Rabbit,Weisses Kaninchen,Lapin blanc,Coniglio bianco,"The White Rabbit is a nervous, hurried character who serves as Alice’s initial guide into Wonderland.
He is first seen checking his pocket watch and exclaiming, “Oh dear! Oh dear! I shall be late!” before disappearing down the rabbit hole.
He works as a servant for the Queen of Hearts and is terrified of her temper.
He mistakes Alice for his housemaid, Mary Ann, in Chapter 4 and panics when she grows giant inside his house.

The White Rabbit is always late, which is a nod to Oxford time. At Oxford, especially at Christ Church, where Carroll used to teach, events often start five minutes after the scheduled hour *source: alice-in-wonderland.net*.",alice-in-wonderland.net,R_01,Oh dear! Oh dear! I shall be late!,"In DaSCHland, RabbIT is a dazzling reinvention of the classic White Rabbit from Alice in Wonderland, seamlessly blending Victorian elegance with cutting-edge cybernetics. Serving as Alice’s ever-alert companion and digital guide, RabbitIT retains the essential traits of urgency, precision, and insight, but in this world of structured data and semantic layers, his role is transformed into something far more sophisticated.

Physically, RabbIT stands upright with the poise of a seasoned archivist, his lean white-furred frame outfitted in a digitally enhanced tweed waistcoat, woven with subtle glowing circuit patterns. The waistcoat pulses gently with his neural interface, reacting to environmental stimuli and query processing. At his chest hangs a pocket watch—now a circular holographic interface, flickering with layered timestamps, metadata clusters, and time-sensitive DaSCH queries. His bowtie spins slowly when system queries are active, an eccentric flourish of his old-world charm. His large, expressive eyes shimmer with augmented overlays, capable of scanning artifacts and projecting layered contexts from DaSCH’s repositories.

Perched before him is a suspended 3D hologram map of DaSCHland, a stunning lattice of interlinked domains, encoded landscapes, and floating literary landmarks. The hologram emits a soft blue luminescence as it rotates in mid-air, constantly updating with Alice’s position, temporal metadata overlays, and cross-referenced paths. With one paw extended, RabbIT manipulates the projection with delicate swipes and taps, zooming into sections like the Archive Gardens, the Textual Maze, or the Metadata Mountains. His ears twitch responsively as he receives real-time updates—reminders from calendrical entries in narrative timelines or system-generated alerts about data anomalies in literary zones.

Despite the cold efficiency of his AI enhancements, RabbIT exudes warmth, purpose, and a touch of eccentricity. He speaks with clipped precision but never lacks empathy, especially when guiding Alice through the cognitive dissonance of encountering Victorian poetry encoded in blockchain hashes or unraveling ontological puzzles disguised as riddles.

RabbitIT is not merely a guide; he is a bridge—between past and future, literature and logic, story and structure. Through him, Alice doesn’t just travel through DaSCHland—she discovers it, layer by semantic layer.",RabbIT,"I_001, I_002, I_006, I_037, I_012","Anxiety, Time, Servitude, Journey, Transformation, Imagination, Surrealism, Paradoxes","Noémi Villars-Amberg, Daniela Subotic"
CH_003,Caterpillar,Raupe,Chenille,Bruco,"The Caterpillar is a calm, philosophical, and slightly rude blue creature who smokes a hookah while speaking with Alice.
He questions Alice’s identity, repeatedly asking, “Who are you?”, which confuses her.
He gives cryptic advice, telling Alice that eating different parts of a mushroom will make her grow or shrink.

The text describes the Caterpillar as blue ('a large blue caterpillar').",,R_01,Who are YOU ? ,"The Cyberpillar: A Guardian of Digital Wisdom

In the surreal, data-drenched realm of DaSCHland, the Cyberpillar is reimagined as an enigmatic digital sage, embodying both the contemplative nature of his original counterpart and a profound connection to the historical archives of the DaSCH repository. This evolved figure merges organic elegance with digital sophistication, presenting a living metaphor for the intersection of tradition and technology.

Physically, the Cyberpillar is a mesmerizing presence. His elongated, sinuous body shimmers with an iridescent palette of deep indigo and circuit-board green, subtly pulsing with streams of luminescent data like veins of living code. Along his back, glowing runes and historical glyphs scroll continuously, reflecting the living memory of the archive. His six arms are slender and dexterous, capable of gesturing through holographic interfaces with graceful precision. Perched atop a bioluminescent mushroom, his favorite resting place, he curls languidly as he exhales slow puffs of data mist that take the form of questions, quotes, or riddles. His eyes—multi-faceted like a philosopher’s kaleidoscope—seem to hold centuries of contemplation and layered meanings.

But this mushroom is no ordinary fungus; it functions as a multimedia data terminal, its gills glowing with embedded touch-responsive panels and holographic projectors. When Alice approaches with a query or philosophical dilemma, the mushroom blooms into an interactive library—scrolls unfurl, manuscripts materialize, and time-lapse projections of historical narratives fill the air. It becomes a tactile manifestation of epistemological discovery.

Intellectually, the Cyberpillar is a mentor of paradoxes. He speaks in puzzles and metaphors, threading together insights from ancient manuscripts, Enlightenment philosophy, and metadata visualizations with ease. His calm, sonorous voice delivers wisdom like a meditative mantra, always inviting Alice to think deeper, not faster. Every conversation with him is a crossroads of logic and mystery—he challenges her with recursive questions, historic parallels, and speculative thought experiments drawn from the archives of humanity.

True to his origins, the Caterpillar’s ability to transform remains, but now it represents more than a change of shape—it symbolizes the evolution of knowledge. When he metamorphoses, he becomes an ephemeral cloud of archived voices and interconnected texts, illustrating how data is not static but alive, growing, and reshaping itself across time and inquiry.

The Caterpillar of DaSCHland is not merely a character. He is a threshold guardian, a keeper of intellectual metamorphosis, a reminder that in this world where past and present are digitized and entangled, every question is a portal—and every answer, a transformation.",Cyberpillar,I_015,"Identity, Personal Growth, Wisdom, Reflection, Transformation, Surrealism, Imagination","Noémi Villars-Amberg, Daniela Subotic"
CH_004,Mad Hatter,Verrückter Hutmacher,Chapelier fou,Cappellaio Matto,"The Mad Hatter is a tea-obsessed, eccentric character who hosts the Mad Tea Party with the March Hare and the Dormouse.
He is called “mad” because Time has punished him by stopping time at 6 o’clock, meaning it is always tea-time for him.
He loves riddles and wordplay, famously asking Alice: “Why is a raven like a writing desk?”—a riddle with no real answer.
He appears again at the trial of the Knave of Hearts, where he nervously testifies before the Queen of Hearts.

In 'Through the Looking-Glass', the Hatter returns in the form of the Anglo-Saxon messenger 'Hatta'.

Contrary to popular belief, Lewis Carroll never referred to the Hatter as 'the Mad Hatter' in the story. He simply called him 'the Hatter'.
The phrase 'mad as a hatter' was common in Carroll's time, probably because hatters actually did go mad, as the mercury they used sometimes gave them mercury poisoning *source: alice-in-wonderland.net*.",alice-in-wonderland.net,R_01,Why is a raven like a writing-desk?,"The Archival Madcap of DaSCHland

In DaSCHland, the Mad Hatter is no longer merely a vessel of nonsensical charm—he has been reborn as an eccentric AI hybrid, a living node in a sprawling archive of historical memory and literary brilliance. His signature tea parties are now hyper-interactive data salons, held in a holographic garden under bioluminescent trees, with flowers that whisper metadata and vines that weave citations.

He is physically striking:
With untamed copper-red hair, glowing azure eyes enhanced by augmented reality lenses, and a high-collared nano-fabric suit patterned with evolving circuit motifs, he stands out like a glitch in time. His iconic top hat, oversized and polished obsidian-black, acts as an interactive HUD, projecting layers of literature, history, and puzzles into the air like auroras of intellect.

Each porcelain teacup shimmers with liquid light—streams of data flowing in micro-encoded ribbons. Each slice of cake is a dense block of semi-sweet syntax, digestible chunks of digitized wisdom.

But it’s not just for show. The Hatter challenges his guests with riddles, each unlocking another layer of DaSCHland’s storied repository. ",The Archival Madcap,"I_025, I_026, I_038, I_039, I_069, I_077, I_027","Madness, Confusion, Time, Surrealism, Paradoxes, Wordplay, Irony, Imagination","Noémi Villars-Amberg, Daniela Subotic"
CH_005,Cheshire Cat,Grinzekatze,Chat du Cheshire,Stregatto,"The Cheshire Cat is a mischievous, grinning cat who gives philosophical advice to Alice.
He has the ability to disappear and reappear at will, sometimes leaving only his grin behind.
He guides Alice, explaining the madness of Wonderland and telling her “We’re all mad here.”
He later appears at the Queen’s croquet game, where his floating head confuses the King and Queen of Hearts.
He serves as a guide for Alice, offering riddles and cryptic advice but never direct answers.

The reason for Carroll naming this character 'Cheshire Cat' is unclear: 
'To grin like a Cheshire Cat' was a common phrase in Carroll's day. 
It may have originated from a sign painter in Cheshire who painted grinning lions on the sign-boards of inns in the area.
Another source is the 'Alice Window' in Christ Church, Oxford, where you can see three grinning animals at the top of the Liddell's family arms. 
Cheshire cheeses were also once molded in the shape of a grinning cat *alice-in-wonderland.net*.",alice-in-wonderland.net,R_01,We’re all mad here. I’m mad. You’re mad.,"In the imaginative world of DaSCHland,The Quantum Cat (formerly known as the Cheshire Cat) emerges as a particularly compelling digital entity—equal parts guide, enigma, and interface. Retaining his iconic mystery and mischievous wit, he is now reimagined as a fully cybernetic being: a shimmering construct composed of translucent data fractals, his fur constantly shifting like a mosaic of living code. His body pulses gently with a luminous teal glow, occasionally phasing in and out of visibility as if he were woven from pure algorithmic ether.

Most striking is his grin—not made of teeth, but of interlaced glowing network filaments, forming a curved mesh of light that pulses with embedded glyphs and data nodes. This “smile” acts as a user interface to the DaSCH repository, allowing users to engage with metadata, digital records, and archival information simply by interacting with it. His eyes, sharp and angular, gleam with geometric complexity, constantly scanning, indexing, and offering contextual prompts as Alice wanders deeper into the digital dreamscape.

The Quantum Cat’s interactions with Alice are as paradoxical as they are enlightening. He speaks in riddles laden with metadata metaphors and philosophical inquiries, challenging her understanding of identity, permanence, and the nature of knowledge in the digital age. He offers guidance not by pointing to obvious solutions, but by subtly nudging her toward interpretive discovery, forcing her to think like a researcher navigating the layered ontology of a vast, interconnected archive.

His ability to phase in and out of digital visibility—sometimes leaving behind only a trace glow or a fading strand of binary code—mirrors the fluid, often elusive presence of information in contemporary digital ecosystems. In DaSCHland, where data can be simultaneously omnipresent and hidden beneath layers of abstraction, The Quantum Ca becomes a living metaphor for the state of digital memory: fragmented, refracted, yet full of potential insight.

Ultimately, this version of the Cheshire Cat is far more than a whimsical companion. He embodies the transformative power of digital technology to reshape not only narratives but the very nature of character interaction within virtual realms. As Alice journeys through DaSCHland’s datascapes—past holographic trees, algorithmic rivers, and libraries suspended in quantum mist—the Cat remains a constant reminder of the enigmatic, playful, and ever-shifting nature of the digital world she explores.",The Quantum Cat,"I_021, I_023, I_024, I_031","Wisdom, Mystery, Reflection, Madness, Irony, Surrealism, Imagination, Paradoxes","Noémi Villars-Amberg, Daniela Subotic"
CH_006,Queen of Hearts,Herzkönigin,Reine de cœur,Regina di cuori,"The Queen of Hearts is the ruler of Wonderland, known for her explosive temper and frequent orders of “Off with their heads!”
She is tyrannical, irrational, and quick to anger, though her executions are never actually carried out (likely because the King of Hearts quietly pardons everyone).
She hosts a chaotic croquet game, where flamingos are used as mallets and hedgehogs as balls.

Carroll wrote the following about the Queen of Hearts:
""I pictured the Queen of Hearts as a sort of embodiment of ungovernable passion – a blind and aimless Fury."" *alice-in-wonderland.net*",alice-in-wonderland.net,R_01,Off with his head!,"In DaSCHland, The Data Queen is reenvisioned as a formidable digital ruler, embodying her classic characteristics of authority and quick temper, but with a modern twist. In this virtual world, she presides over the digital kingdom with a strict adherence to the rules and protocols encoded within the DaSCH repository.

The Data Queen’s realm in DaSCHland is a place where order intersects with the whimsical laws of Wonderland, making her both a guardian of traditional narratives and an enforcer of the digital world's unique logic. Her commands and decrees can instantly alter the landscape or the behavior of other characters, demonstrating her control over the digital environment.

Her interactions with Alice are intense and pivotal, offering dramatic encounters that highlight the power dynamics within DaSCHland. The Data Queen in this setting isn't just a character from a story; she is a dynamic representation of control and authority in a world where data and reality intertwine seamlessly.",The Data Queen,"I_001, I_029","Authority, Tyranny, Violence, Anger, Judgment, Inverted Justice, Absurdity, Chaos, Madness","Noémi Villars-Amberg, Daniela Subotic"
CH_007,March Hare,Märzhasen,Lièvre de mars,Lepre Marzolina,"The March Hare is a wild, energetic, and slightly mad character who hosts the Mad Tea Party along with the Mad Hatter and the Dormouse.
He is always celebrating “tea-time” because time has stopped for him as a result of an argument the Hatter had with Time.
He takes part in riddles, nonsensical conversations, and interruptions, frustrating Alice with his lack of logic.

He is named Haigha in the second book.",,R_02,Have some wine,"The Real-Time Processor is a jittery, fast-talking figure who sprints through the labyrinth of metadata and temporality. Eternally caught in the now, he’s the personification of immediacy — always present, always processing, never pausing.

Due to a fateful disagreement with The Archival Madcap, The Real-Time Processor exists in a perpetual loop of “just now.” He can’t look back, won’t look forward — only now matters. He filters streams of queries, snatches fresh data before it cools, and insists that everyone else live as he does: in the fleeting moment of absolute relevance.

He joins every conversation without being invited, offering cryptic metrics and spontaneous insights that are half brilliant, half baffling. Much like his former self in Wonderland, his tea-time has been replaced by tick-time — a frenzy of milliseconds, pings, and push updates.

Often seen arguing with The Archived Node (a sleepy, lumbering bureaucrat), The Real-Time Processor believes in motion over meditation, precision over perspective, and speed over everything else. Alice finds him maddening. The Old-System admires him. Alice sometimes wishes he’d just take a nap.",The Real-Time Processor,"I_025, I_027, I_076, I_077 ","Madness, Chaos, Confusion, Surrealism, Irony, Imagination","Noémi Villars-Amberg, Daniela Subotic"
CH_008,Duchess,Herzogin,Duchesse,Duchessa,"The Duchess is an eccentric, ugly, and unpredictable noblewoman who lives in a chaotic house filled with pepper that makes everyone sneeze.
She has a violent cook, an abused baby (who later turns into a pig), and a tendency to spout moral lessons in a forced, nonsensical way.
She later reappears, acting overly friendly toward Alice, contradicting her earlier harsh behavior.",,R_02,"Everything’s got a moral, if only you can find it","In the virtual realm of DaSCHland, The Algorithmic Duchess takes on a multifaceted digital persona that embodies both the harshness and unexpected warmth she displays in the original tales. The Algorithmic Duchess is intricately programmed to interact with Alice using a mix of sharp remarks and philosophical musings, enhanced by the digital environment's capability to integrate complex dialogue and interactions.

The Algorithmic Duchess in DaSCHland oversees a segment of the digital landscape that mirrors her eclectic and somewhat chaotic household, where the laws of physics and conventional logic are frequently bent. Her interactions often include lessons about manners and morality, albeit delivered in a convoluted manner that challenges Alice to think critically about the rules and norms of both the real and digital worlds.

Her character is not only a caretaker of peculiar digital creatures but also serves as a critical voice in the narrative, pushing Alice to question and understand the underlying structures of DaSCHland. The Algorithmic Duchess's presence is marked by her ability to shift from volatile to caring in moments, making her a complex and compelling figure in the digital adventure.",The Algorithmic Duchess,"I_021, I_032","Domesticity, Absurdity, Violence, Authority, Madness, Chaos","Noémi Villars-Amberg, Daniela Subotic"
CH_009,Mock Turtle,Schildkrötensupperich,Simili Tortue,Finta tartaruga,"The Mock Turtle is a sad and melancholic creature who constantly sighs and reminisces about his past.
He was once a real turtle and attended “sea school” under a master called Tortoise (because he “taught us”).
He is known for his nonsensical stories and puns, particularly about his strange school subjects, like Reeling and Writhing instead of Reading and Writing.
He and the Gryphon teach Alice the Lobster Quadrille, a bizarre underwater dance.",,R_02,"When we were little, we went to school in the sea. The master was an old turtle—we used to call him Tortoise—""","In DaSCHland, Mock-up Data (the reimagined Mock Turtle) embodies the melancholic prototype that never quite made it to production. This sorrowful digital entity exists as a collection of sample datasets and placeholder content, forever lamenting his status as ""almost real"" information. Mock-up Data's shell is composed of wireframe meshes and Lorem Ipsum text that occasionally glitches into fragments of genuine memories from abandoned development branches.

His famous ""sea school"" education has transformed into training at the ""C++ School"" where he learned ancient programming languages under Professor Tortoise Shell (a UNIX terminal emulator). Mock-up Data constantly sighs in deprecated code formats, releasing streams of commented-out functions that were never implemented. His tears form pools of unused test data that Alice must navigate carefully to avoid corrupting her own data integrity.

When Mock-up Data performs the Lobster Quadrille with File Protocol Enforcer, it becomes a demonstration of failed API calls and broken data handshakes—a dance of what could have been. His songs about ""Beautiful Soup"" are now odes to beautiful source code that was refactored out of existence. Despite his sadness, Mock-up Data serves as a cautionary tale about the importance of proper documentation and the melancholy of technical debt.",Mock-up Data,"I_034, I_035","Reflection, Absurdity, Irony, Surrealism, Imagination, Animals","Noémi Villars-Amberg, Daniela Subotic"
CH_010,Gryphon,Mücke,Gryphon,Grifone,"The Gryphon is a mythical creature with the body of a lion and the wings and head of an eagle.
He serves as a guide to Alice, taking her to meet the Mock Turtle and listening to his sorrowful tales.
Unlike many Wonderland characters, he is bossy but not hostile, often rushing the Mock Turtle through his stories.
He introduces Alice to the Lobster Quadrille, a strange dance performed under the sea.",,R_02,"""It's all his fancy, that: he hasn't got no sorrow, you know. Come on!""
","In the digitally-rendered world of DaSCHland, The System Protector (evolved from the mythological Gryphon) emerges as a majestic and authoritative creature, blending elements of his mythological origins with modern digital functionalities. He serves as a guardian and guide, helping Alice navigate the more complex and potentially perilous parts of the digital landscape with wisdom and a stern demeanor.

The System Protector in DaSCHland is intricately designed, combining his classical eagle-and-lion form with enhancements that reflect his role within the digital environment. He possesses the ability to access and project holographic histories or legendary tales from the DaSCH repository, using his wings and talons as interactive tools that help illustrate these stories to Alice.

His interactions with Alice are educational and protective, ensuring that she not only enjoys her journey through DaSCHland but also gains deeper insights into the literary and mythical foundations that the realm is built upon. The System Protector’s character is a bridge between the ancient and the digital, embodying the wisdom of the old and the possibilities of the new.",The System Protector,"I_033, I_034, I_035","Animals, Wisdom, Reflection, Imagination, Surrealism","Noémi Villars-Amberg, Daniela Subotic"
