ID (optional),en_1,fr_1,en_2,fr_2,en_3,fr_3,en_4,fr_4,English,French,,,,,,,,
K_001,Theme,Thématique,,,,,,,Theme,Thématique,,,,,,,,
K_002,Theme,Thématique,Fantasy,Fantastique,,,,,Theme − Fantasy,Thématique - Fantastique,,,,,,,,
K_003,Theme,Thématique,Fantasy,Fantastique,Surrealism,Surréalisme,,,Theme − Fantasy − Surrealism,Thématique - Fantastique - Surréalisme,,,,,,,,
K_004,Theme,Thématique,Fantasy,Fantastique,Imagination,Imagination,,,Theme − Fantasy − Imagination,Thématique - Fantastique - Imagination,,,,,,,,
K_005,Theme,Thématique,Fantasy,Fantastique,Contradiction,Contradiction,,,Theme − Fantasy − Contradiction,Thématique - Fantastique - Contradiction,,,,,,,,
K_006,Theme,Thématique,Fantasy,Fantastique,Fluidity of Space,Fluidité de l'espace,,,Theme − Fantasy − Fluidity of Space,Thématique - Fantastique - Fluidité de l'espace,,,,,,,,
K_007,Theme,Thématique,Adventure,Aventure,,,,,Theme − Adventure,Thématique - Aventure,,,,,,,,
K_008,Theme,Thématique,Adventure,Aventure,Journey,Voyage,,,Theme − Adventure − Journey,Thématique - Aventure - Voyage,,,,,,,,
K_009,Theme,Thématique,Adventure,Aventure,Exploration,Exploration,,,Theme − Adventure − Exploration,Thématique - Aventure - Exploration,,,,,,,,
K_010,Theme,Thématique,Identity,Identité,,,,,Theme − Identity,Thématique - Identité,,,,,,,,
K_011,Theme,Thématique,Identity,Identité,Growth,Croissance,,,Theme − Identity − Growth,Thématique - Identité - Croissance,,,,,,,,
K_012,Theme,Thématique,Identity,Identité,Growth,Croissance,Physical Growth,Croissance physique,Theme − Identity − Growth − Physical Growth,Thématique - Identité - Croissance - Croissance physique,,,,,,,,
K_013,Theme,Thématique,Identity,Identité,Growth,Croissance,Personal Growth,Croissance personnelle,Theme − Identity − Growth − Personal Growth,Thématique - Identité - Croissance - Croissance personnelle,,,,,,,,
K_014,Theme,Thématique,Identity,Identité,Transformation,Transformation,,,Theme − Identity − Transformation,Thématique - Identité - Transformation,,,,,,,,
K_015,Theme,Thématique,Identity,Identité,Self-discovery,Découverte de soi,,,Theme − Identity − Self-discovery,Thématique - Identité - Découverte de soi,,,,,,,,
K_016,Theme,Thématique,Authority,Autorité,,,,,Theme − Authority,Thématique - Autorité,,,,,,,,
K_017,Theme,Thématique,Authority,Autorité,Rules,Règles,,,Theme − Authority − Rules,Thématique - Autorité - Règles,,,,,,,,
K_018,Theme,Thématique,Authority,Autorité,Tyranny,Tyrannie,,,Theme − Authority − Tyranny,Thématique - Autorité - Tyrannie,,,,,,,,
K_019,Theme,Thématique,Authority,Autorité,Absurdity,Absurdité,,,Theme − Authority − Absurdity,Thématique - Autorité - Absurdité,,,,,,,,
K_020,Theme,Thématique,Logic,Logique,,,,,Theme − Logic,Thématique - Logique,,,,,,,,
K_021,Theme,Thématique,Logic,Logique,Paradoxes,Paradoxe,,,Theme − Logic − Paradoxes,Thématique - Logique - Paradoxe,,,,,,,,
K_022,Theme,Thématique,Logic,Logique,Wordplay,Jeu de mots,,,Theme − Logic − Wordplay,Thématique - Logique - Jeu de mots,,,,,,,,
K_023,Theme,Thématique,Logic,Logique,Irony,Ironie,,,Theme − Logic − Irony,Thématique - Logique - Ironie,,,,,,,,
K_024,Theme,Thématique,Time,Temps,,,,,Theme − Time,Thématique - Temps,,,,,,,,
K_025,Theme,Thématique,Time,Temps,Anxiety,Anxiété,,,Theme − Time − Anxiety,Thématique - Temps - Anxiété,,,,,,,,
K_026,Theme,Thématique,Time,Temps,Servitude,Servitude,,,Theme − Time − Servitude,Thématique - Temps - Servitude,,,,,,,,
K_027,Theme,Thématique,Chaos,Chaos,,,,,Theme − Chaos,Thématique - Chaos,,,,,,,,
K_028,Theme,Thématique,Chaos,Chaos,Madness,Folie ,,,Theme − Chaos − Madness,Thématique - Chaos - Folie,,,,,,,,
K_029,Theme,Thématique,Chaos,Chaos,Confusion,Confusion,,,Theme − Chaos − Confusion,Thématique - Chaos - Confusion,,,,,,,,
K_030,Theme,Thématique,Wisdom,Sagesse,,,,,Theme − Wisdom,Thématique - Sagesse,,,,,,,,
K_031,Theme,Thématique,Wisdom,Sagesse,Mystery,Mystère,,,Theme − Wisdom − Mystery,Thématique - Sagesse - Mystère,,,,,,,,
K_032,Theme,Thématique,Wisdom,Sagesse,Reflection,Réflexion,,,Theme − Wisdom − Reflection,Thématique - Sagesse - Réflexion,,,,,,,,
K_033,Theme,Thématique,Violence,Violence,,,,,Theme − Violence,Thématique - Violence,,,,,,,,
K_034,Theme,Thématique,Violence,Violence,Anger,Colère ,,,Theme − Violence − Anger,Thématique - Violence - Colère,,,,,,,,
K_035,Theme,Thématique,Violence,Violence,Judgment,Jugement,,,Theme − Violence − Judgment,Thématique - Violence - Jugement,,,,,,,,
K_036,Theme,Thématique,Justice,Justice,,,,,Theme − Justice,Thématique - Justice,,,,,,,,
