ID,File Name,Copyright,License List,Authorship,Directory,Description,Book ID,Seqnum,Permission,Restricted view,URI DaSCH,File Path,Time Stamp,File Size
I_009,IMG_1book8.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice accepting a thimble from Dodo,BK_001,9,prop-default,,"https://iiif.rdu-08.dasch.swiss:443/0854/0rJGrIFZqlz-B4VYqLtkesr.jpx/full/793,906/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_1book8.jpg,,0.298
I_068,IMG_2book25.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice adressing White Queen,BK_002,26,bitstream-prop-restricted,x,"https://iiif.rdu-08.dasch.swiss:443/0854/33x1L73Msy3-1pMUJviTEhA.jpx/full/753,1024/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_2book25.jpg,,0.294
I_032,IMG_1book31.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice and Duchess walking,BK_001,32,prop-default,,"https://iiif.rdu-08.dasch.swiss:443/0854/05qAWprY9IP-rI7HY043Sdj.jpx/full/577,859/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_1book31.jpg,,0.163
I_087,IMG_2book44.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice and Frog standing before a door,BK_002,45,bitstream-prop-restricted,x,"https://iiif.rdu-08.dasch.swiss:443/0854/6AzWW8Ik3iv-gZROWBdCNAl.jpx/full/809,1024/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_2book44.jpg,,0.288
I_055,IMG_2book12.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice and Red Queen running,BK_002,13,bitstream-prop-restricted,x,"https://iiif.rdu-08.dasch.swiss:443/0854/55BnxCASugO-mJDPyr1YcNq.jpx/full/1024,662/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_2book12.jpg,,0.249
I_053,IMG_2book10.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice and Red Queen talking,BK_002,11,bitstream-prop-restricted,x,"https://iiif.rdu-08.dasch.swiss:443/0854/4T7Sic3asPK-YIGZ1bbfc53.jpx/full/852,1024/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_2book10.jpg,,0.328
I_008,IMG_1book7.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice and the Mouse swimming in the Pool of tears,BK_001,8,prop-default,,"https://iiif.rdu-08.dasch.swiss:443/0854/1eEWop1EHTS-kOI3Wwa09Qq.jpx/full/864,574/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_1book7.jpg,,0.184
I_061,IMG_2book18.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice calling on Tweedledum and Tweeldee,BK_002,19,bitstream-prop-restricted,x,"https://iiif.rdu-08.dasch.swiss:443/0854/3ZLSjE1V8A7-aqJfsfJNR3b.jpx/full/1024,805/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_2book18.jpg,,0.319
I_060,IMG_2book17.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice clasping her arms round Fawn,BK_002,18,bitstream-prop-restricted,x,"https://iiif.rdu-08.dasch.swiss:443/0854/3ifEP8xYQF3-kJzcrVHFh4g.jpx/full/788,1024/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_2book17.jpg,,0.314
I_047,IMG_2book4.jpg,Public Domain,Public Domain,John Tenniel,data/Multimedia_Data/Image/,Alice coming through the looking-glass,BK_002,5,bitstream-prop-restricted,x,"https://iiif.rdu-08.dasch.swiss:443/0854/7jsF4SFSaPU-O8OpyBSsbDr.jpx/full/825,1024/0/default.jpg",/Users/noemivillars-amberg/Documents/daschland-scripts/data/Multimedia_Data/Image/IMG_2book4.jpg,,0.343
