Resource ID,Property Name,Encoding Used
A_004,:hasDescription,utf8
A_004,:hasWeight,utf8
A_005,:hasDescription,utf8
A_005,:hasWeight,utf8
A_006,:hasDescription,utf8
A_006,:hasWeight,utf8
A_007,:hasDescription,utf8
A_007,:hasWeight,utf8
A_009,:hasDescription,utf8
A_009,:hasWeight,utf8
D_001,:hasDescription,utf8
FC_01,:hasDescription,utf8
FC_02,:hasDescription,utf8
FC_03,:hasDescription,utf8
FC_04,:hasDescription,utf8
FC_05,:hasDescription,utf8
FC_06,:hasDescription,utf8
FC_07,:hasDescription,utf8
FC_08,:hasDescription,utf8
FC_09,:hasDescription,utf8
F_001,:hasDescription,utf8
F_002,:hasDescription,utf8
F_003,:hasDescription,utf8
H_001,:hasQuote,utf8
H_002,:hasQuote,utf8
H_003,:hasQuote,utf8
H_004,:hasQuote,utf8
H_005,:hasQuote,utf8
H_006,:hasQuote,utf8
H_007,:hasQuote,utf8
H_008,:hasQuote,utf8
H_009,:hasQuote,utf8
H_010,:hasQuote,utf8
H_011,:hasQuote,utf8
H_012,:hasQuote,utf8
H_013,:hasQuote,utf8
H_014,:hasQuote,utf8
H_015,:hasQuote,utf8
H_016,:hasQuote,utf8
H_017,:hasQuote,utf8
H_018,:hasQuote,utf8
H_019,:hasQuote,utf8
H_020,:hasQuote,utf8
H_021,:hasQuote,utf8
H_022,:hasQuote,utf8
IW_001,:ID,utf8
IW_002,:ID,utf8
IW_003,:ID,utf8
IW_004,:ID,utf8
IW_005,:ID,utf8
IW_006,:ID,utf8
IW_007,:ID,utf8
IW_008,:ID,utf8
IW_009,:ID,utf8
IW_010,:ID,utf8
IW_011,:ID,utf8
IW_012,:ID,utf8
IW_013,:ID,utf8
IW_014,:ID,utf8
IW_015,:ID,utf8
IW_016,:ID,utf8
IW_017,:ID,utf8
IW_018,:ID,utf8
IW_019,:ID,utf8
IW_020,:ID,utf8
IW_021,:ID,utf8
IW_022,:ID,utf8
IW_023,:ID,utf8
IW_024,:ID,utf8
IW_025,:ID,utf8
IW_026,:ID,utf8
IW_027,:ID,utf8
IW_028,:ID,utf8
IW_029,:ID,utf8
IW_030,:ID,utf8
IW_031,:ID,utf8
IW_032,:ID,utf8
IW_033,:ID,utf8
IW_034,:ID,utf8
IW_035,:ID,utf8
IW_036,:ID,utf8
IW_037,:ID,utf8
IW_038,:ID,utf8
IW_039,:ID,utf8
IW_040,:ID,utf8
IW_041,:ID,utf8
IW_042,:ID,utf8
IW_043,:ID,utf8
IW_044,:ID,utf8
IW_045,:ID,utf8
IW_046,:ID,utf8
IW_047,:ID,utf8
IW_048,:ID,utf8
IW_049,:ID,utf8
IW_050,:ID,utf8
IW_051,:ID,utf8
IW_052,:ID,utf8
IW_053,:ID,utf8
IW_054,:ID,utf8
IW_055,:ID,utf8
IW_056,:ID,utf8
IW_057,:ID,utf8
IW_058,:ID,utf8
IW_059,:ID,utf8
IW_060,:ID,utf8
IW_061,:ID,utf8
IW_062,:ID,utf8
IW_063,:ID,utf8
IW_064,:ID,utf8
IW_065,:ID,utf8
IW_066,:ID,utf8
IW_067,:ID,utf8
IW_068,:ID,utf8
IW_069,:ID,utf8
IW_070,:ID,utf8
IW_071,:ID,utf8
IW_072,:ID,utf8
IW_073,:ID,utf8
IW_074,:ID,utf8
IW_075,:ID,utf8
IW_076,:ID,utf8
IW_077,:ID,utf8
IW_078,:ID,utf8
IW_079,:ID,utf8
IW_080,:ID,utf8
IW_081,:ID,utf8
IW_082,:ID,utf8
IW_083,:ID,utf8
IW_084,:ID,utf8
IW_085,:ID,utf8
IW_086,:ID,utf8
IW_087,:ID,utf8
IW_088,:ID,utf8
IW_089,:ID,utf8
IW_090,:ID,utf8
IW_091,:ID,utf8
IW_092,:ID,utf8
IW_093,:ID,utf8
IW_094,:ID,utf8
IW_095,:ID,utf8
IW_096,:ID,utf8
IW_097,:ID,utf8
IW_098,:ID,utf8
IW_099,:ID,utf8
O_001,:hasDescription,utf8
O_002,:hasDescription,utf8
O_003,:hasDescription,utf8
O_004,:hasDescription,utf8
O_005,:hasDescription,utf8
O_006,:hasDescription,utf8
O_007,:hasDescription,utf8
O_008,:hasDescription,utf8
O_009,:hasDescription,utf8
O_010,:hasDescription,utf8
W_001,:hasDescription,utf8
W_002,:hasDescription,utf8
W_003,:hasDescription,utf8
W_004,:hasDescription,utf8
W_005,:hasDescription,utf8
W_006,:hasDescription,utf8
W_007,:hasDescription,utf8
W_008,:hasDescription,utf8
W_009,:hasDescription,utf8
W_010,:hasDescription,utf8
W_011,:hasDescription,utf8
W_012,:hasDescription,utf8
W_013,:hasDescription,utf8
W_014,:hasDescription,utf8
W_015,:hasDescription,utf8
W_016,:hasDescription,utf8
W_017,:hasDescription,utf8
W_018,:hasDescription,utf8
W_019,:hasDescription,utf8
